,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed
2023-06-09 19:11:01.682269952,4.108955383,-6.997498627,-3.516637115,,,,0,0,1,0,,,,,,
2023-06-09 19:11:01.922269952,4.601431274,-16.0261235,-1.904489594,,,,0,0,1,0,,,,,,
2023-06-09 19:11:02.102269952,4.48497345,-2.172432404,0.5204676819,,,,0,0,1,0,,,,,,
2023-06-09 19:11:02.282269952,-1.506467285,-0.5339396667,-4.335284729,,,,0,0,1,0,,,,,,
2023-06-09 19:11:02.522269952,5.795198822,-7.28609848,-0.2356100464,,,,0,0,1,0,,,,,,
2023-06-09 19:11:02.702269952,10.04381378,-11.43382324,-1.154998169,,,,0,0,1,0,,,,,,
2023-06-09 19:11:02.882269952,4.205205231,-9.888137512,-5.122497711,,,,0,0,1,0,,,,,,
2023-06-09 19:11:03.062269952,3.805686035,-2.859204254,-2.36942276,,,,0,0,1,0,,,,,,
2023-06-09 19:11:03.302269952,-2.468666382,-1.538949738,-1.753154297,,,,0,0,1,0,,,,,,
2023-06-09 19:11:03.482269952,3.028352509,-4.706213379,-2.753524017,,,,0,0,1,0,,,,,,
2023-06-09 19:11:03.662269952,14.32206711,-14.46801361,1.520687714,,,,0,0,1,0,,,,,,
2023-06-09 19:11:03.902269952,3.539689178,-7.51781662,-3.980073395,,,,0,0,1,0,,,,,,
2023-06-09 19:11:04.082269952,5.486241302,-6.293362885,-1.541195068,,,,0,0,1,0,,,,,,
2023-06-09 19:11:04.262269952,5.617069244,-10.31579819,-1.293759613,,,,0,0,1,0,,,,,,
2023-06-09 19:11:04.502269952,5.338797913,-4.819378052,-1.222507782,,,,0,0,1,0,,,,,,
2023-06-09 19:11:04.682269952,12.47131577,-13.26661194,2.298470306,,,,0,0,1,0,,,,,,
2023-06-09 19:11:04.862269952,3.671864319,-9.487121429,-1.897154846,,,,0,0,1,0,,,,,,
2023-06-09 19:11:05.102269952,7.410938873,-3.673510895,-2.404599609,,,,0,0,1,0,,,,,,
2023-06-09 19:11:05.282269952,5.648803253,-8.690478058,-0.5535488892,,,,0,0,1,0,,,,,,
2023-06-09 19:11:05.462269952,4.903952179,-5.248685303,-2.614463196,,,,0,0,1,0,,,,52.33359549,4.914324795,-1.0
2023-06-09 19:11:05.642269952,7.936046906,-15.267052,-0.5418731689,,,,0,0,1,0,,,,,,
2023-06-09 19:11:05.882269952,2.708168335,-5.150788879,-0.03487747192,,,,0,0,1,0,,,,,,
2023-06-09 19:11:06.062269952,1.137035522,-2.881657562,-3.355122986,,,,0,0,1,0,,,,,,
2023-06-09 19:11:06.242269952,6.448141022,-9.417665863,0.4128414917,,,,0,0,1,0,,,,,,
2023-06-09 19:11:06.482269952,5.497168579,-7.243736572,-1.789378967,,,,0,0,1,0,,,,,,
2023-06-09 19:11:06.662269952,3.321742401,-15.48559753,-1.33267868,,,,0,0,1,0,,,,,,
2023-06-09 19:11:06.842269952,2.417622528,-3.919299774,1.440604248,,,,0,0,1,0,,,,,,
2023-06-09 19:11:07.082269952,7.1597612,-8.823551331,-4.593198395,,,,0,0,1,0,,,,,,
