,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalk,labelsit,labelride,labelrun,mag_phone_x,mag_phone_y,mag_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_speed,simple_dist_outlier
2023-06-09 19:13:51.002269952,7.058421936,-9.993218994,0.6900650024,0.6210234761,-0.380314052,2.381168902,0,0,1,0,-18.74872589,50.265033725,-26.47397995,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:51.252269952,5.8526792905,-14.70227646,1.48304100025,-0.6111503839,-4.677052021,-1.957058668,0,0,1,0,-25.381073,48.98699188,-27.69865227,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:51.502269952,-5.665718079,-1.06129303,-0.2639012146,-2.1259408,-0.3952299356,-3.03984642,0,0,1,0,-51.78445435,38.5453186,-14.0831089,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:51.752269952,9.053922272,-12.94942154,3.069666595,0.6002689004,3.555339813,2.294745207,0,0,1,0,-36.6048584,45.24953461,-18.67564583,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:52.002269952,12.90137146,-15.51957687,2.188449097,0.61021656565,0.78147900105,-0.6238090395000001,0,0,1,0,-15.410057065499998,51.33746719,-25.15839577,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:52.252269952,-1.30595924375,-10.2592906955,-0.6414910126,-1.346593618,-0.4144533277,-4.82672739,0,0,1,0,-40.97035217,42.1964798,-21.18241882,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:52.502269952,5.441933441,-11.81148788,1.257085876,0.3040585816,2.250696898,2.242614985,0,0,1,0,-39.83294678,42.08410645,-20.42463684,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:52.752269952,6.604416046,-13.17500244,2.573298798,2.171800613,-0.5638742447,2.069473743,0,0,1,0,-20.28462219,51.45279312,-25.03304672,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:53.002269952,10.67579956,-8.979526978,-0.4568499756,-1.240743732125,-0.2707057595000001,-0.9193955959,0,0,1,0,-23.69250488,48.775779725,-25.972118375,52.33447776829667,4.891991603794989,-0.011739427005407843,False
2023-06-09 19:13:53.252269952,4.7516439055,-8.485554199,1.55197265605,-0.06450711936,1.23254478,1.975193501,0,0,1,0,-50.89382935,40.7475853,-12.95550728,52.33447776829667,4.891991603794989,-0.011739427005407843,False
